10
0.00313	0.00349	5.40E-04	0.10883	0.07423	7,12517	;	03.02.2020
5.69E+00	2.98E+00	7.06E+00	5.68E+00	2.98E+00	0,051405089		
0.00539	0.00709	0.00141	0.16191	0.11443	7,51624		
5.66E+00	2.84E+00	4.56E+00	5.66E+00	2.84E+00	0,044296084		
0.00808	0.01095	0.0023	0.19627	0.12923	7,59463		
5.74E+00	2.84E+00	3.65E+00	5.74E+00	2.84E+00	0,041762403		
0.00995	0.01252	0.00255	0.19916	0.11539	7,41336		
5.95E+00	2.98E+00	3.54E+00	5.94E+00	2.98E+00	0,042818641		
0.00805	0.00888	0.00175	0.17777	0.09136	7,39276		
6.36E+00	3.30E+00	4.32E+00	6.36E+00	3.29E+00	0,048772042		
0.006	0.00574	0.00118	0.15255	0.0747	7,55242		
6.77E+00	3.65E+00	5.28E+00	6.76E+00	3.65E+00	0,05614889		
0.0055	0.00483	0.00109	0.14578	0.0626	7,86682		
7.05E+00	3.90E+00	5.54E+00	7.04E+00	3.90E+00	0,060386535		
0.00547	0.00447	0.00105	0.1463	0.06482	7,53865		
7.30E+00	4.11E+00	5.68E+00	7.30E+00	4.10E+00	0,063915953		
0.00596	0.00472	0.00123	0.14531	0.05374	7,80919		
7.50E+00	4.27E+00	5.32E+00	7.50E+00	4.26E+00	0,065162968		
0.00661	0.00496	0.00159	0.1328	0.03073	9,78612		
7.64E+00	4.45E+00	4.73E+00	7.64E+00	4.46E+00	0,065568376	
